token	weight	state_id
ءابدەن	181	16427
ءابىل	226	108190
ءاتتەڭ	214	69056
ءاتىر	195	22268
ءاتەي	176	12893
ءاتەيگە	223	89518
ءاجانىم	226	91393
ءاجىم	203	26562
ءاجەم	226	104703
ءادىرسىن	224	81635
ءادىرىس	204	41423
ءادىرىسى	224	81598
ءادىرىسىن	222	81599
ءادىس	215	57353
ءادىسى	226	80906
ءادىل	183	18661
ءادىلبەك	211	50401
ءادىلجان	217	95913
ءادىلقان	220	82851
ءادىلەت	221	95713
ءادىڭ	221	90178
ءاديال	222	110608
ءادە	215	3001
ءادەت	201	16648
ءادەتتە	183	16650
ءادەتتەگى	206	39720
ءادەتى	220	46162
ءادەتىم	206	46163
ءادەتىڭ	218	76002
ءادەم	221	3002
ءادەمسىڭ	226	107802
ءادەمى	140	3003
ءادەمىسىڭ	220	77870
ءادەمىلەپ	199	31717
ءادەمە	212	49669
ءادەن	219	69275
ءادەي	226	48101
ءادەيى	207	48102
ءار	133	1548
ءاربىر	180	8186
ءارتۇرلى	189	19204
ءاردايىم	202	34277
ءارقاشان	176	7041
ءارقاشاندا	217	70785
ءارقانداي	182	14423
ءارقايسى	215	57293
ءاركىم	202	40738
ءاركىمنىڭ	213	64882
ءاركۇنى	220	67519
ءاركەز	209	53557
ءارى	155	5466
ءارىينە	221	96219
ءارىپ	207	45330
ءارينە	177	14945
ءاريىنە	221	90695
ءارەكەت	214	55841
ءارەكەتىڭ	229	105458
ءارەن	199	32066
ءارەىڭ	226	103343
ءارەڭ	139	2908
ءاز	191	1625
ءازر	185	18604
ءازىر	125	1627
ءازىردە	212	55993
ءازىردەن	223	100207
ءازىرشە	188	20820
ءازىرگى	194	26577
ءازىرگە	227	109867
ءازىل	200	35333
ءازەر	212	56184
ءاستە	203	39176
ءاسلى	179	15016
ءاسىرەسە	203	40009
ءاسىلى	150	4703
ءاسىلىندە	225	104794
ءاسىلگى	220	72201
ءاسيا	224	103194
ءاسەت	212	82524
ءاسەر	206	43475
ءاسەم	203	44638
ءاسەن	216	87983
ءاشاۋ	225	93700
ءاشىم	225	109285
ءاشەيىن	211	49866
ءاكام	191	20880
ءاكى	184	16200
ءاكە	185	8669
ءاكەتتى	227	98901
ءاكەتىپ	224	98184
ءاكەسى	191	29463
ءاكەسىن	220	79505
ءاكەسىنىڭ	222	80703
