token1	token2	token3	weight
عوي	عوي	عوي	3
عوي	جانىم	جانىم	61
عوي	جانىم	مەن	33
عوي	جانىم	دەپ	66
عوي	جانىم	جوق	82
عوي	جانىم	جاقسى	57
عوي	جانىم	بولدى	71
عوي	جانىم	بىر	50
عوي	جانىم	سول	8
عوي	جانىم	نە	56
عوي	جانىم	نەعىپ	73
عوي	جانىم	بار	83
عوي	جانىم	سەن	35
عوي	جانىم	ەندى	47
عوي	جانىم	راحىمەت	64
عوي	جانىم	ماقۇل	77
عوي	جانىم	وندا	53
عوي	جانىم	يا	70
عوي	جانىم	ەرتەڭ	62
عوي	جانىم	بۇگىن	62
عوي	جانىم	مەندە	49
عوي	جانىم	سودان	75
عوي	جانىم	ماعان	55
عوي	جانىم	ەكى	77
عوي	جانىم	مەنى	56
عوي	جانىم	مەنىڭ	41
عوي	جانىم	نەگە	65
عوي	جانىم	ول	61
عوي	جانىم	قايدا	84
عوي	جانىم	سەنى	29
عوي	جانىم	ساعان	39
عوي	جانىم	وسى	75
عوي	جانىم	تاماق	81
عوي	جانىم	ۇيدە	89
عوي	جانىم	ۇيگە	85
عوي	جانىم	اي	78
عوي	جانىم	دوسىم	45
عوي	جانىم	امان	78
عوي	جانىم	ونى	72
عوي	جانىم	بىراق	63
عوي	جانىم	ۇزىڭ	64
عوي	جانىم	قاشان	71
عوي	جانىم	تاعى	81
عوي	جانىم	تاڭەرتەڭ	75
عوي	جانىم	بىراز	81
عوي	جانىم	قانداي	89
عوي	جانىم	باسقا	75
عوي	جانىم	سەنىڭ	63
عوي	جانىم	بولاما	76
عوي	جانىم	راس	77
عوي	جانىم	ازىر	83
عوي	جانىم	كەشە	80
عوي	جانىم	قايتا	86
عوي	جانىم	سوندا	87
عوي	جانىم	وزىڭ	77
عوي	جانىم	ايتەۋ	81
عوي	جانىم	اعا	77
عوي	جانىم	اۋ	26
عوي	جانىم	تۇندە	78
عوي	جانىم	وعان	76
عوي	جانىم	سەندە	74
عوي	جانىم	قاتتى	84
عوي	جانىم	ەشتەڭە	88
عوي	جانىم	ەي	72
عوي	جانىم	اينالايىن	64
عوي	جانىم	شارشاپ	81
عوي	جانىم	شىن	89
عوي	جانىم	جۇرەگىم	64
عوي	جانىم	امال	73
عوي	جانىم	ەكەمىز	83
عوي	جانىم	تاتتىم	27
عوي	جانىم	ماڭگى	76
عوي	جانىم	ساعىنىپ	76
عوي	جانىم	قايتەم	78
عوي	جانىم	ەرتەرەك	77
عوي	جانىم	وڭاي	86
عوي	جانىم	شىركىن	73
عوي	جانىم	سەنەن	78
عوي	جانىم	التىن	81
عوي	جانىم	بىلەسىڭ	84
عوي	جانىم	الاڭداما	71
عوي	جانىم	كۇنىم	86
عوي	جانىم	التىنىم	65
عوي	جانىم	رەنجىمە	73
عوي	جانىم	ايتپەسە	78
عوي	جانىم	ۇزىڭدى	64
عوي	جانىم	جەڭگە	82
عوي	جانىم	وزىڭدى	72
عوي	جانىم	كەمپىرىم	34
عوي	جانىم	ايتبەسە	85
عوي	جانىم	شارشادىڭ	80
عوي	جانىم	شالىم	62
عوي	جانىم	اياۋلىم	46
عوي	جانىم	قاتىنىم	74
عوي	جانىم	بارى	78
عوي	جانىم	بارىپ	86
عوي	جانىم	تەلەفون	82
عوي	جانىم	كۇن	88
عوي	جانىم	قاربالاس	87
عوي	جانىم	نەدەگەن	85
عوي	جانىم	قايتىپ	87
عوي	جانىم	سوعان	88
عوي	جانىم	جەجە	87
عوي	جانىم	بولماسا	88
عوي	جانىم	باعانا	89
عوي	جانىم	نەبولدى	86
عوي	جانىم	بارىن	83
عوي	جانىم	تەك	88
عوي	جانىم	اپەكە	83
عوي	جانىم	سەننەن	87
عوي	جانىم	سارى	68
عوي	جانىم	تەگى	86
عوي	جانىم	قۇلىنىم	77
عوي	جانىم	بوتام	71
عوي	جانىم	كۇشىگىم	86
عوي	جانىم	سۇيكتىم	62
عوي	جانىم	شۇجەم	74
عوي	مەن	عوي	36
عوي	مەن	جوق	43
عوي	مەن	جاقسى	55
عوي	مەن	بىر	21
عوي	مەن	سول	35
عوي	مەن	نە	41
عوي	مەن	سەن	40
عوي	مەن	ەندى	31
عوي	مەن	ەرتەڭ	55
عوي	مەن	بۇگىن	48
عوي	مەن	بارىپ	48
عوي	مەن	سەنى	19
عوي	مەن	ساعان	18
عوي	مەن	ەمەس	40
عوي	مەن	قاربالاس	55
عوي	مەن	سەنىڭ	40
عوي	مەن	قايدان	38
عوي	مەن	ۇشىن	30
عوي	مەن	سياقتى	47
عوي	مەن	قۇساپ	50
عوي	مەن	بارعاندا	57
عوي	مەن	بارسام	52
عوي	مەن	بار	52
عوي	مەن	وسى	55
عوي	مەن	ۇيگە	56
عوي	مەن	ونى	55
عوي	مەن	ۇيقتاپ	51
عوي	مەن	ونداي	54
عوي	مەن	بولسام	54
عوي	دەپ	جانىم	53
عوي	دەپ	مەن	49
عوي	دەپ	بىر	42
عوي	دەپ	جاتىر	42
عوي	دەپ	قوي	48
عوي	دەپ	سودان	46
عوي	دەپ	ماعان	54
عوي	دەپ	جاتىرمىن	37
عوي	دەپ	ايتىپ	35
عوي	دەپ	وتىر	43
عوي	دەپ	وتىرمىن	26
عوي	دەپ	قويدىم	42
عوي	دەپ	ەدىم	20
عوي	دەپ	جۇرمىن	55
عوي	دەپ	سۇراپ	49
عوي	دەپ	ويلاپ	15
عوي	دەپ	ەدىڭ	38
عوي	دەپ	قويادى	44
عوي	دەپ	قۋانىپ	45
عوي	دەپ	جۇرسەم	49
عوي	دەپ	جۇرگەم	55
عوي	دەپ	ويلايمىن	44
عوي	دەپ	ويلادىم	18
عوي	دەپ	ويلاعام	19
عوي	دەپ	بەدىڭ	45
عوي	دەپ	مەندە	54
عوي	دەپ	ساعان	56
عوي	دەپ	ايتتى	55
عوي	دەپ	سويلەپ	57
عوي	جوق	دەپ	16
عوي	جوق	بولىپ	8
عوي	جوق	بولسا	13
عوي	جوق	دەگەندە	16
عوي	جاقسى	عوي	30
عوي	جاقسى	بولدى	21
عوي	جاقسى	ەكەن	20
عوي	جاقسى	بولىپ	18
عوي	جاقسى	بولسا	32
عوي	جاقسى	ەدى	20
عوي	جاقسى	تۇس	20
عوي	جاقسى	بولىپتى	36
عوي	جاقسى	دەمال	20
عوي	جاقسى	بولپتى	10
عوي	جاقسى	ويناپ	19
عوي	بولدى	عوي	11
عوي	بولدى	جاقسى	18
عوي	بولدى	ەندى	12
عوي	بولدى	راحىمەت	19
عوي	بولدى	وندا	15
عوي	بولدى	مەن	20
عوي	بولدى	دەپ	21
عوي	بولدى	قويشى	18
عوي	بىر	ادام	39
عوي	بىر	ەكى	17
عوي	بىر	اي	36
عوي	بىر	كۇن	17
عوي	بىر	كۇنى	15
عوي	بىر	جول	40
عوي	بىر	كەزدە	28
عوي	بىر	كۇندە	48
عوي	بىر	جەردە	43
عوي	بىر	ساعات	41
عوي	بىر	جەرگە	38
عوي	بىر	جاققا	39
عوي	بىر	نەشە	45
عوي	بىر	تۇرلى	16
عوي	بىر	جىل	36
عوي	بىر	اۋىز	33
عوي	بىر	اپتا	34
عوي	بىر	جاعى	34
عوي	بىر	بىرىمىزدى	33
عوي	بىر	جولدا	48
عوي	بىر	ۋاق	45
عوي	سول	عوي	37
عوي	سول	بىر	41
عوي	سول	ەندى	38
عوي	سول	كۇنى	16
عوي	سول	كەزدە	8
عوي	سول	جەردە	21
عوي	سول	ۇشىن	17
عوي	سول	جەرگە	30
عوي	سول	سياقتى	19
عوي	سول	كىسى	45
عوي	سول	قۇساپ	43
عوي	سول	بەتى	41
عوي	سول	ۇيدە	47
عوي	سول	جەردەن	42
عوي	سول	باياعى	43
عوي	نە	بولدى	7
عوي	نە	بولىپ	15
عوي	نە	قاربالاس	15
عوي	نە	ىستەپ	43
عوي	نە	جۇمىس	35
عوي	نە	بوپ	32
عوي	نە	بولعان	40
عوي	نە	ۇشىن	39
عوي	نە	بولسادا	18
عوي	نە	بار	41
عوي	نە	تۇر	44
عوي	نە	ستەپ	31
عوي	نە	جاعداي	42
عوي	نە	بولعانىن	43
عوي	نەعىپ	جاتىر	17
عوي	نەعىپ	جاتىرسىڭ	8
عوي	نەعىپ	جۇرسىڭ	16
عوي	نەعىپ	جاتسىڭ	7
عوي	بار	بولسا	5
عوي	بار	دەپ	17
عوي	بار	بولساڭ	17
عوي	سەن	مەن	43
عوي	سەن	دەپ	38
عوي	سەن	جوق	24
عوي	سەن	جاقسى	37
عوي	سەن	بىر	31
عوي	سەن	نە	39
عوي	سەن	نەعىپ	31
عوي	سەن	ماعان	25
عوي	سەن	مەنى	19
عوي	سەن	مەنىڭ	33
عوي	سەن	نەگە	29
عوي	سەن	قاشان	42
عوي	سەن	ۇشىن	16
عوي	سەن	سياقتى	34
عوي	سەن	قۇساپ	33
عوي	سەن	بار	43
عوي	سەن	قايدا	42
عوي	سەن	بولساڭ	35
عوي	ەندى	جانىم	40
عوي	ەندى	مەن	30
عوي	ەندى	جاقسى	40
عوي	ەندى	بولدى	44
عوي	ەندى	بىر	19
عوي	ەندى	سول	39
عوي	ەندى	نە	19
عوي	ەندى	سەن	36
عوي	ەندى	ماعان	32
عوي	ەندى	ەكى	45
عوي	ەندى	مەنى	42
عوي	ەندى	نەگە	35
عوي	ەندى	قاشان	42
عوي	ەندى	تاعى	45
عوي	ەندى	كورىپ	44
عوي	ەندى	امال	34
عوي	ەندى	قايتەم	23
عوي	ەندى	قايتەسىڭ	45
عوي	ەندى	قايتەمىز	30
عوي	ەندى	قايتەمىن	17
عوي	ەندى	نەعىپ	39
عوي	ەندى	ول	42
