token	weight	state_id
a	60	1
aa	231	94713
aaa	200	97668
aae	231	95283
aba	185	4643
abadan	226	89569
abai	231	4644
abaia	151	4645
abaida	178	18700
abaidan	189	31099
abaidağy	220	82724
abaidy	180	20318
abaidyn	191	32902
abaidyñ	231	95723
abaila	157	6705
abailamaisyñ	206	57488
abailap	231	95520
abailau	205	55510
abailañdar	196	40325
abailañyz	203	51138
abailaş	189	31394
abailaşy	208	60910
abaimen	209	63331
abaiqyzy	215	73192
abaisyzda	196	40590
abaitanu	179	19396
abaiğa	169	12295
abaiūly	218	78601
abaq	213	69520
abaqty	230	94506
abat	180	19974
abattandyru	224	87625
abbas	207	58867
abdan	222	85203
abdi	201	48784
abdijappar	203	51738
abdu	178	9342
abduali	204	53094
abdul	198	9343
abdulla	163	9345
abdullaeva	193	36112
abdullah	220	81397
abdullin	185	25437
abdurahman	181	21595
abeke	231	96799
abenov	209	53086
abenova	204	53087
abilova	199	44584
abjanova	227	91642
abliazov	212	67853
abonement	208	61291
abonent	195	39314
abonenttık	225	89031
abort	198	43723
abrikos	205	27958
abrikosym	187	27960
absoliut	203	22870
absoliutno	182	22872
absoliuttı	194	37285
absoliuttık	198	42759
absorbsiia	213	70530
abstraksiia	228	91906
abstrakt	221	83335
abstraktılı	227	91503
abu	154	5659
abylai	231	59771
abylaidan	219	79908
abylaihan	231	59774
abylaihana	208	59775
abyr	199	11477
abyrjyp	212	68183
abyroi	168	11479
abyroily	176	17192
abyroimen	191	33521
abyroisyz	225	89363
abyroiy	199	34883
abyroiyn	192	34884
abyroiyñdy	214	72656
abyroiyñyz	211	65682
abysyn	231	13722
abysyndar	174	15339
abysyndarym	213	70027
abysyndy	215	72900
abysynnyñ	211	66697
abysyny	197	13723
abysynym	171	13724
abysynymnyñ	207	58051
abysynyñ	190	31533
abysynyña	222	85008
abyz	202	49544
abzal	231	45674
abzaldyñ	199	45677
abzalmen	213	69581
abzaly	220	82512
abzalğa	201	48077
abzas	188	29463
ad	231	329
ada	164	330
adai	231	61756
adaidyñ	210	65395
adailar	209	61759
adal	231	11168
adaldyq	167	11171
adaldyqty	208	61416
adaldyğy	212	68273
adaldyğyñ	222	85723
adalmyn	187	27801
adalynan	200	46179
adam	231	331
adamba	185	25230
adambyz	177	17354
adamda	147	1576
adamdai	179	19897
adamdao	223	86327
adamdar	231	1577
adamdarda	167	10396
