token1	token2	token3	weight
alla	razy	bolsyn	1
allağa	şükır	jaqsy	3
djoker	djoker	djoker	1
bol	auyrma	añsağan	2
bolğan	eken	ğoi	5
anau	mynau	dep	4
vsö	vsö	vsö	2
basta	basta	basta	1
bolma	adam	bol	1
bolmai	jatyr	ğoi	1
bolmai	tūr	ğoi	2
da	da	da	1
basy	bos	emes	2
tañ	janym	menıñ	5
keşır	keşır	keşır	1
özın	özı	tanu	3
vsmysle	vsmysle	vsmysle	1
barlyğy	jaqsy	bolady	1
jazu	kerek	edı	6
alatyn	adam	bolsa	4
kel	dep	jatyr	1
keldıñ	törlet	janym	1
dobroe	dobroe	dobroe	1
pysyp	kettı	ğoi	1
bärı	jaqsy	bolady	4
jūma	mübäräk	bolsyn	1
beresıñ	beresıñ	beresıñ	1
oilan	oilan	oilan	1
jolda	kele	jatyrmyn	4
joldas	joldas	joldas	2
allanyñ	nazarynda	baqyttyñ	5
kelmei	jatyr	ğoi	1
almai	jatyrmyn	ğoi	2
däpterge	jazyp	alamyz	4
ydys	juyp	alaiyn	6
tūr	ğoi	janym	4
alğa	qoiğan	maqsattaryña	5
ketıp	bara	jatyrmyn	6
ketıp	qaldy	ğoi	3
aitam	dep	ūmytyp	2
jerı	jaily	bolsyn	3
au	janym	menıñ	6
qasymda	adam	bar	1
qasymda	adamdar	bar	1
dünie	jüzı	tarihy	2
aitpaim	aitpaim	aitpaim	1
auyrma	añsağan	armanyña	2
körınıp	tūr	ğoi	1
kımsıñ	kımsıñ	kımsıñ	1
qosymşa	oqy	qosymşa	1
qosymşa	tabys	eşkımge	2
keşkı	as	ışıp	1
ärqaşan	jüzıñnen	külkı	1
jylğa	aman	esen	1
as	bolsyn	janym	6
esep	şyğaru	kerek	1
jet	ata	anañnyñ	1
jet	baqytty	bol	1
deimın	de	joq	1
quanyşty	künderıñ	köp	1
nazym	nazym	nazym	1
jazşy	jazşy	jazşy	1
berıñız	jüzıñızden	külkı	1
künı	qūtty	bolsyn	1
künıñ	qūtty	bolsyn	1
künıñız	qūtty	bolsyn	1
künıñız	sättı	ötsın	1
köredı	eken	ğoi	1
la	la	la	1
beru	kerek	edı	6
jüredı	zarplata	kak	1
renjıme	renjıme	renjıme	1
renjımeşı	renjımeşı	renjımeşı	1
ju	ju	ju	1
qanat	tıleimın	ärqaşan	5
qanat	tıleimın	baqytty	4
kömek	kerek	bolsa	6
kömektesıp	jıberşı	ötınış	1
üstıne	nūr	bolar	1
ah	ah	ah	2
aha	jaraidy	janym	5
ahahah	ahahah	ahahah	1
ahahahahahahahah	ahahahahahahahah	ahahahahahahahah	1
aitsañ	boldy	ğoi	1
dos	retınde	aralasyp	5
körıne	ber	janym	6
ūnady	mağan	ūnady	3
oqy	oqy	jäne	2
köz	timesın	tfai	5
ärdaiym	jüzıñızden	külkı	1
ärdaiym	külıp	jürıñız	4
ketsem	keşırım	sūraimyn	1
jete	ber	ata	5
jete	almai	jatyrmyn	1
biık	belesterden	körıne	1
barşañyzğa	qaiyrly	tañ	4
mamanyñ	tuğan	künı	3
qol	timei	jatyr	4
qoly	bos	emes	2
qoly	timei	jatyr	4
jıberu	kerek	edı	4
körıñız	tünıñız	tynyş	1
jastar	baqytty	bolsyn	1
bolaiyn	dep	jatyr	6
bolaiyn	dep	tūr	4
atyn	kım	dep	4
kır	juyp	jatyrmyn	4
jasy	qūtty	bolsyn	1
jasy	ūzaq	bolsyn	2
jasyn	jasai	ber	3
kıre	almai	jatyrmyn	5
basyñ	aman	bolsyn	1
qosu	jäne	azaitu	1
densaulyğy	myqty	bolsyn	2
densaulyğyñ	myqty	bolsyn	2
dūğa	tılekterıñız	qabyl	2
kelu	kerek	edı	2
tün	janym	menıñ	4
tün	tynyştyğyn	bersın	2
atty	otandyq	jobağa	1
ketu	kerek	edı	2
köp	köp	köp	1
biıkterden	körınıp	jüre	1
biıkterden	körıne	ber	6
biıkterden	körıne	bersın	6
bıleiın	dep	edım	1
jasa	baqytty	bol	1
jasau	kerek	edı	6
künderı	qūtty	bolsyn	1
kol	bos	emes	1
kol	timei	jatyr	4
kol	timei	kettı	5
ūiyqtai	almai	jatyrmyn	1
köru	kerek	eken	4
kündelıktı	ömırıñızdı	de	1
öleñdı	ermek	üşın	1
jetken	tuğan	künıñmen	4
saqtai	alasyñba	ötınış	1
qyrsyq	qyrsyq	qyrsyq	1
tırkeldım	tırkeldım	tırkeldım	1
tırkeldım	laik	bastym	1
kele	jatyr	eken	6
äreket	jasau	kerek	1
jaraisyñ	jaraisyñ	jaraisyñ	2
tūñğyş	prezident	künı	5
tūñğyş	prezident	künıne	4
jinalys	bolyp	jatyr	1
būiyrsyn	būiyrsyn	būiyrsyn	1
mi	aşyp	kettı	1
damytu	jattyğulary	jäne	1
ärıp	sany	men	1
jelaiu	tebe	vsego	2
jüzege	asyru	üşın	1
tüster	kör	janym	3
