token1	token2	token3	weight
عوي	عوي	عوي	5
عوي	عوي	جانىم	6
عوي	جانىم	جانىم	37
عوي	جانىم	مەن	28
عوي	جانىم	دەپ	59
عوي	جانىم	جوق	79
عوي	جانىم	جاقسى	54
عوي	جانىم	بولدى	63
عوي	جانىم	بىر	42
عوي	جانىم	سول	7
عوي	جانىم	نە	52
عوي	جانىم	نەعىپ	68
عوي	جانىم	بار	80
عوي	جانىم	سەن	33
عوي	جانىم	ەندى	41
عوي	جانىم	راحىمەت	60
عوي	جانىم	ماقۇل	71
عوي	جانىم	وندا	43
عوي	جانىم	يا	59
عوي	جانىم	ەرتەڭ	53
عوي	جانىم	بۇگىن	52
عوي	جانىم	مەندە	45
عوي	جانىم	سودان	64
عوي	جانىم	ماعان	49
عوي	جانىم	ەكى	70
عوي	جانىم	مەنى	52
عوي	جانىم	مەنىڭ	19
عوي	جانىم	نەگە	63
عوي	جانىم	ول	55
عوي	جانىم	قايدا	80
عوي	جانىم	سەنى	25
عوي	جانىم	ساعان	36
عوي	جانىم	وسى	67
عوي	جانىم	تاماق	76
عوي	جانىم	ۇيدە	78
عوي	جانىم	ۇيگە	79
عوي	جانىم	اي	74
عوي	جانىم	دوسىم	44
عوي	جانىم	امان	74
عوي	جانىم	ونى	64
عوي	جانىم	بىراق	59
عوي	جانىم	ۇزىڭ	65
عوي	جانىم	قاشان	75
عوي	جانىم	تاعى	74
عوي	جانىم	تاڭەرتەڭ	70
عوي	جانىم	بىراز	76
عوي	جانىم	قانداي	79
عوي	جانىم	باسقا	69
عوي	جانىم	سەنىڭ	55
عوي	جانىم	كەشتە	81
عوي	جانىم	بولاما	71
عوي	جانىم	راس	73
عوي	جانىم	ازىر	76
عوي	جانىم	كەشە	75
عوي	جانىم	قايتا	76
عوي	جانىم	سوندا	79
عوي	جانىم	وزىڭ	76
عوي	جانىم	ايتەۋ	75
عوي	جانىم	اعا	71
عوي	جانىم	اۋ	31
عوي	جانىم	تۇندە	79
عوي	جانىم	وعان	67
عوي	جانىم	سەندە	68
عوي	جانىم	قاتتى	75
عوي	جانىم	ەشتەڭە	78
عوي	جانىم	كۇندە	80
عوي	جانىم	ەي	72
عوي	جانىم	ودان	71
عوي	جانىم	اينالايىن	20
عوي	جانىم	شارشاپ	76
عوي	جانىم	شىن	81
عوي	جانىم	جۇرەگىم	56
عوي	جانىم	امال	61
عوي	جانىم	ەكەمىز	75
عوي	جانىم	تاتتىم	36
عوي	جانىم	ماڭگى	66
عوي	جانىم	ساعىنىپ	66
عوي	جانىم	قايتەم	72
عوي	جانىم	ەرتەرەك	75
عوي	جانىم	وڭاي	80
عوي	جانىم	شىركىن	75
عوي	جانىم	سەنەن	72
عوي	جانىم	التىن	76
عوي	جانىم	بىلەسىڭ	79
عوي	جانىم	الاڭداما	69
عوي	جانىم	كۇنىم	77
عوي	جانىم	التىنىم	56
عوي	جانىم	رەنجىمە	69
عوي	جانىم	ايتپەسە	79
عوي	جانىم	ۇزىڭدى	62
عوي	جانىم	جەڭگە	68
عوي	جانىم	وزىڭدى	66
عوي	جانىم	كەمپىرىم	39
عوي	جانىم	ايتبەسە	75
عوي	جانىم	شارشادىڭ	71
عوي	جانىم	شالىم	74
عوي	جانىم	اياۋلىم	53
عوي	جانىم	قاتىنىم	68
عوي	مەن	عوي	19
عوي	مەن	جوق	28
عوي	مەن	جاقسى	35
عوي	مەن	بىر	15
عوي	مەن	سول	19
عوي	مەن	نە	25
عوي	مەن	سەن	20
عوي	مەن	ەندى	18
عوي	مەن	ەرتەڭ	32
عوي	مەن	بۇگىن	30
عوي	مەن	بارىپ	30
عوي	مەن	سەنى	14
عوي	مەن	ساعان	13
عوي	مەن	ەمەس	24
عوي	مەن	قاربالاس	35
عوي	مەن	سەنىڭ	24
عوي	مەن	قايدان	25
عوي	مەن	ۇشىن	19
عوي	مەن	سياقتى	29
عوي	مەن	قۇساپ	34
عوي	مەن	بارعاندا	36
عوي	مەن	بارسام	36
عوي	دەپ	جانىم	40
عوي	دەپ	مەن	41
عوي	دەپ	بىر	33
عوي	دەپ	جاتىر	28
عوي	دەپ	قوي	34
عوي	دەپ	سودان	37
عوي	دەپ	ماعان	42
عوي	دەپ	جاتىرمىن	23
عوي	دەپ	ايتىپ	21
عوي	دەپ	وتىر	30
عوي	دەپ	وتىرمىن	16
عوي	دەپ	قويدىم	32
عوي	دەپ	ەدىم	18
عوي	دەپ	جۇرمىن	39
عوي	دەپ	سۇراپ	36
عوي	دەپ	ويلاپ	11
عوي	دەپ	ەدىڭ	21
عوي	دەپ	قويادى	31
عوي	دەپ	قۋانىپ	43
عوي	دەپ	جۇرسەم	43
عوي	دەپ	جۇرگەم	43
عوي	دەپ	ويلايمىن	30
عوي	دەپ	ويلادىم	15
عوي	دەپ	ويلاعام	16
عوي	دەپ	بەدىڭ	35
عوي	جوق	دەپ	12
عوي	جوق	بولىپ	5
عوي	جوق	بولسا	10
عوي	جوق	دەگەندە	14
عوي	جاقسى	عوي	19
عوي	جاقسى	بولدى	15
عوي	جاقسى	ەكەن	16
عوي	جاقسى	بولىپ	14
عوي	جاقسى	بولسا	19
عوي	جاقسى	ەدى	17
عوي	جاقسى	تۇس	16
عوي	جاقسى	بولعان	20
عوي	جاقسى	بولىپتى	11
عوي	جاقسى	دەمال	17
عوي	جاقسى	بولپتى	13
عوي	بولدى	عوي	8
عوي	بولدى	جاقسى	14
عوي	بولدى	ەندى	9
عوي	بولدى	راحىمەت	14
عوي	بولدى	وندا	12
عوي	بىر	ادام	30
عوي	بىر	ەكى	14
عوي	بىر	اي	22
عوي	بىر	كۇن	13
عوي	بىر	كۇنى	12
عوي	بىر	جول	34
عوي	بىر	كەزدە	20
عوي	بىر	كۇندە	37
عوي	بىر	جەردە	36
عوي	بىر	ساعات	35
عوي	بىر	جەرگە	35
عوي	بىر	جاققا	26
عوي	بىر	نەشە	35
عوي	بىر	تۇرلى	15
عوي	بىر	جىل	25
عوي	بىر	ايدا	34
عوي	بىر	تالاي	35
عوي	بىر	اۋىز	29
عوي	بىر	اپتا	21
عوي	بىر	جاعى	24
عوي	بىر	بىرىمىزدى	28
عوي	سول	عوي	27
عوي	سول	بىر	28
عوي	سول	ەندى	32
عوي	سول	كۇنى	14
عوي	سول	كەزدە	5
عوي	سول	جەردە	19
عوي	سول	ۇشىن	14
عوي	سول	جەرگە	24
عوي	سول	سياقتى	18
عوي	سول	كىسى	38
عوي	سول	قۇساپ	27
عوي	سول	بەتى	37
عوي	نە	دەپ	33
عوي	نە	بولدى	6
عوي	نە	بولىپ	12
عوي	نە	قاربالاس	12
عوي	نە	ىستەپ	28
عوي	نە	جۇمىس	30
عوي	نە	بوپ	26
عوي	نە	بولعان	30
عوي	نە	ۇشىن	29
عوي	نە	بولسادا	16
عوي	نەعىپ	جاتىر	14
عوي	نەعىپ	جاتىرسىڭ	2
عوي	بار	عوي	15
عوي	بار	بولسا	2
عوي	سەن	مەن	24
عوي	سەن	دەپ	20
عوي	سەن	جوق	16
عوي	سەن	جاقسى	19
عوي	سەن	بىر	19
عوي	سەن	سول	24
عوي	سەن	نە	23
عوي	سەن	نەعىپ	18
عوي	سەن	ماعان	16
عوي	سەن	مەنى	15
عوي	سەن	مەنىڭ	17
عوي	سەن	نەگە	18
عوي	سەن	قاشان	23
عوي	سەن	ۇشىن	12
عوي	سەن	سياقتى	20
عوي	سەن	قۇساپ	19
عوي	ەندى	جانىم	23
عوي	ەندى	مەن	20
عوي	ەندى	جاقسى	29
عوي	ەندى	بولدى	29
عوي	ەندى	بىر	14
عوي	ەندى	سول	28
عوي	ەندى	نە	16
عوي	ەندى	سەن	24
عوي	ەندى	ماعان	21
عوي	ەندى	ەكى	27
عوي	ەندى	مەنى	28
عوي	ەندى	نەگە	22
عوي	ەندى	سەنى	30
عوي	ەندى	قاشان	25
عوي	ەندى	تاعى	29
عوي	ەندى	باسقا	30
عوي	ەندى	كورىپ	24
عوي	ەندى	امال	25
عوي	ەندى	قايتەم	12
عوي	ەندى	قايتەسىڭ	25
