emoji_id	emoji	unicode_sequence
1	😂	1f602
2	🧑	1f9d1
3	🤐	1f910
4	✋	270b
5	🤥	1f925
6	🤝	1f91d
7	🙏	1f64f
8	❤	2764
9	👩‍🍳	1f469_200d_1f373
10	👨‍🍳	1f468_200d_1f373
11	👿	1f47f
12	😠	1f620
13	😈	1f608
14	🦵	1f9b5
15	🤑	1f911
16	🧒	1f9d2
17	🤕	1f915
18	🫂	1fac2
19	👨‍💻	1f468_200d_1f4bb
20	😐	1f610
21	😘	1f618
22	💃	1f483
23	🕺	1f57a
24	👱‍♀️	1f471_200d_2640_fe0f
25	😌	1f60c
26	🥴	1f974
27	💩	1f4a9
28	☝	261d
29	👶	1f476
30	🤣	1f923
31	👺	1f47a
32	🕵️‍♀️	1f575_fe0f_200d_2640_fe0f
33	🧞‍♀️	1f9de_200d_2640_fe0f
34	😊	1f60a
35	👨‍⚕️	1f468_200d_2695_fe0f
36	👉	1f449
37	😋	1f60b
38	👩‍⚕️	1f469_200d_2695_fe0f
39	❌	274c
40	👨	1f468
41	👄	1f444
42	🫠	1fae0
43	😭	1f62d
44	😓	1f613
45	🙁	1f641
46	👎	1f44e
47	🫣	1fae3
48	👍	1f44d
49	✌	270c
50	😣	1f623
51	😖	1f616
52	👩‍✈️	1f469_200d_2708_fe0f
53	👆	1f446
54	😢	1f622
55	😄	1f604
56	🏃‍♀️	1f3c3_200d_2640_fe0f
57	🫶	1faf6
58	🚶‍♀️	1f6b6_200d_2640_fe0f
59	✊	270a
60	👩‍💼	1f469_200d_1f4bc
61	👨‍💼	1f468_200d_1f4bc
62	👩‍🔧	1f469_200d_1f527
63	📌	1f4cc
64	👨‍🔬	1f468_200d_1f52c
65	🧟‍♀️	1f9df_200d_2640_fe0f
66	🦹‍♂️	1f9b9_200d_2642_fe0f
67	📱	1f4f1
68	🧘	1f9d8
69	👴	1f474
70	👽	1f47d
71	🤘	1f918
72	😒	1f612
73	🤡	1f921
74	😍	1f60d
75	👩‍🦱	1f469_200d_1f9b1
76	💂‍♂️	1f482_200d_2642_fe0f
77	💂‍♀️	1f482_200d_2640_fe0f
78	😆	1f606
79	😀	1f600
80	😏	1f60f
81	😃	1f603
82	👁	1f441
83	🥲	1f972
84	💋	1f48b
85	😛	1f61b
86	😎	1f60e
87	🤦‍♀️	1f926_200d_2640_fe0f
88	🥰	1f970
89	🚘	1f698
90	👨‍🔧	1f468_200d_1f527
91	🧠	1f9e0
92	🌍	1f30d
93	🧐	1f9d0
94	😜	1f61c
95	💪	1f4aa
96	👤	1f464
97	👥	1f465
98	👃	1f443
99	👩‍🏫	1f469_200d_1f3eb
100	😞	1f61e
101	🙃	1f643
102	😮	1f62e
103	🤔	1f914
104	🙇	1f647
105	👌	1f44c
106	👮‍♀️	1f46e_200d_2640_fe0f
107	👨‍🎓	1f468_200d_1f393
108	🤓	1f913
109	🧚‍♂️	1f9da_200d_2642_fe0f
110	😇	1f607
111	👼	1f47c
112	👩‍💻	1f469_200d_1f4bb
113	🙎‍♂️	1f64e_200d_2642_fe0f
114	🤖	1f916
115	⏰	23f0
116	🙋	1f64b
117	🖖	1f596
118	🧔	1f9d4
119	🤳	1f933
120	🧙‍♂️	1f9d9_200d_2642_fe0f
121	👈	1f448
122	👩‍⚖️	1f469_200d_2696_fe0f
123	👨‍🎨	1f468_200d_1f3a8
124	👩‍🎨	1f469_200d_1f3a8
125	🥶	1f976
126	🤷‍♂️	1f937_200d_2642_fe0f
127	😗	1f617
128	🦴	1f9b4
129	😚	1f61a
130	😙	1f619
131	🫡	1fae1
132	🗣	1f5e3
133	🦶	1f9b6
134	💸	1f4b8
135	👨‍🦲	1f468_200d_1f9b2
136	😨	1f628
137	🤒	1f912
138	🤌	1f90c
139	👅	1f445
140	😶	1f636
141	🦷	1f9b7
142	🤧	1f927
143	🙋‍♂️	1f64b_200d_2642_fe0f
144	👇	1f447
145	💁	1f481
146	😟	1f61f
147	🤩	1f929
148	😅	1f605
149	👨‍🌾	1f468_200d_1f33e
150	🤢	1f922
151	🤴	1f934
152	👸	1f478
153	👭	1f46d
154	👏	1f44f
155	😩	1f629
156	😫	1f62b
157	🧋	1f9cb
158	👳‍♀️	1f473_200d_2640_fe0f
159	😡	1f621
160	😉	1f609
161	🙂	1f642
162	😁	1f601
163	🥵	1f975
164	🧝‍♀️	1f9dd_200d_2640_fe0f
165	😑	1f611
166	👣	1f463
167	👩‍🔬	1f469_200d_1f52c
168	👩‍🚀	1f469_200d_1f680
169	👨‍🚀	1f468_200d_1f680
170	👨‍🏭	1f468_200d_1f3ed
171	👨‍⚖️	1f468_200d_2696_fe0f
172	😲	1f632
173	🙍‍♂️	1f64d_200d_2642_fe0f
174	🤪	1f92a
175	🧛‍♂️	1f9db_200d_2642_fe0f
176	👵	1f475
177	🙅‍♂️	1f645_200d_2642_fe0f
178	👨‍🦳	1f468_200d_1f9b3
179	😝	1f61d
180	😱	1f631
181	👹	1f479
182	👧	1f467
183	👲	1f472
184	👂	1f442
185	👷‍♀️	1f477_200d_2640_fe0f
186	🤮	1f92e
187	🤗	1f917
188	🤫	1f92b
189	😴	1f634
190	😪	1f62a
191	👦	1f466
192	👨‍🏫	1f468_200d_1f3eb
193	👨‍✈️	1f468_200d_2708_fe0f
194	😕	1f615
195	👩	1f469
196	🤲	1f932
197	👩‍🎤	1f469_200d_1f3a4
198	👨‍🎤	1f468_200d_1f3a4
199	👻	1f47b
200	😥	1f625
201	😰	1f630
