token	emoji	emoji_id	group_id	state_id
жақсы	👍	48	0	9
деп	😂	1	0	12
бол	😘	21	0	31
рахме	😘	21	0	39
рахмет	😘	21	0	40
ғой	😂	1	0	48
жан	❤	8	0	49
жаным	❤	8	0	51
шүкір	🙏	7	0	56
бір	☝	28	0	58
енді	😂	1	0	62
ма	😂	1	0	74
сәлем	🫡	131	0	87
менің	😘	21	0	106
емес	❌	39	0	112
мама	❤	8	0	124
адам	🧑	2	0	136
ой	🤔	103	0	140
дұрыс	👉	36	0	156
ақша	🤑	15	0	211
бала	🧒	16	0	226
қыз	👧	182	0	248
кетті	😂	1	0	259
сол	👈	121	0	274
түн	😘	21	0	306
жаман	👎	46	0	332
көрем	❤	8	0	368
әумин	🤲	196	0	395
берсін	😘	21	0	426
видео	🤣	30	0	463
машина	🚘	89	0	488
әдемі	😍	74	0	507
тыныш	🤌	138	0	557
жүрегім	❤	8	0	578
керемет	🤘	71	0	614
күніңмен	😘	21	0	746
тіл	👅	139	0	752
тілеймін	😘	21	0	757
ахахах	😂	1	0	789
құттықтаймын	😘	21	0	1001
ыстық	🥵	163	0	1059
биле	💃	22	0	1130
лайк	❤	8	0	1159
ұл	👦	191	0	1202
мықты	💪	95	0	1221
кешірш	😒	72	0	1323
көз	👁	82	0	1340
көз	👁	82	1	1340
таз	👨‍🦲	135	1	1370
жүрек	❤	8	1	1419
аяқ	🦵	14	1	1451
анашым	❤	8	1	1491
ми	🧠	91	1	1549
қойшы	😝	179	1	1558
шәй	🧋	157	1	1677
махаббат	🥰	88	1	1746
дима	😂	1	1	1928
го	😂	1	1	1978
красавица	😍	74	1	2181
сүйем	😚	129	1	2194
сүйемін	😘	21	1	2196
еркек	👨	40	1	2239
әйел	👩	195	1	2419
сот	👩‍⚖️	122	1	2511
фу	🤢	150	1	2559
күлкі	😆	78	1	2966
мұғалім	👩‍🏫	99	1	3018
деппа	😂	1	1	3449
мәз	🙃	101	1	3494
масқара	🤦‍♀️	87	1	3651
жоғары	👆	53	1	3886
ашу	👿	11	1	4015
суық	🥶	125	1	4222
тіс	🦷	141	1	4303
сүйдім	😗	127	1	4490
төмен	👇	144	1	4888
боқ	💩	27	1	5060
доктор	👨‍⚕️	35	1	5238
оқушы	👨‍🎓	107	1	5713
ұстаз	👨‍🏫	192	1	5874
дәмді	😋	37	1	5968
шаршаған	😫	156	1	6225
бөпе	👶	29	1	6316
қорқынышты	👹	181	1	6338
жеңіс	✌	49	1	6500
тілектес	❤	8	1	6603
дәрігер	👩‍⚕️	38	1	6906
ханшайым	👸	152	1	7149
ғалым	👩‍🔬	167	1	7196
қытай	👲	183	2	7740
мәссаған	😮	102	2	8195
мазақ	😛	85	2	8251
ерін	👄	41	2	8338
зомби	🧟‍♀️	65	2	8405
аминь	🙏	7	2	8719
құлақ	👂	184	2	9388
табуға	💸	134	2	9504
әнші	👨‍🎤	198	2	9882
пері	🧚‍♂️	109	2	11419
періште	😇	110	2	11422
қазы	👨‍⚖️	171	2	11677
жылау	😢	54	2	12109
ашулы	😈	13	2	12197
ок	👌	105	2	12482
ұйықтау	😴	189	2	12599
ханзада	🤴	151	2	13389
қайран	😲	172	2	13733
өкінішті	😰	201	2	14967
ойлану	🙇	104	2	15226
мұрын	👃	98	2	15292
бант	🤕	17	2	15802
ғашықпын	😍	74	2	16051
шаршау	😩	155	2	16535
сүйек	🦴	128	2	17486
алдау	🤥	5	3	17847
жөндеу	👩‍🔧	62	3	19527
клоун	🤡	73	3	20162
добрая	😊	34	3	20357
періштем	👼	111	3	21004
механик	👨‍🔧	90	3	21161
айтпау	🤐	3	3	21538
босаң	🥴	26	3	22222
жүріс	🚶‍♀️	58	3	22527
шапалақ	👏	154	3	23079
жүрекше	🫶	57	3	23566
жұмысшы	👨‍💼	61	3	23660
қартаю	👨‍🦳	178	3	26350
мұңды	😞	100	3	27401
ұйқылы	😪	190	3	27762
детектив	🕵️‍♀️	32	3	28281
сүю	😙	130	3	29323
офицер	👮‍♀️	106	3	30048
амандасу	🤝	6	3	30128
билеу	🕺	23	3	30366
йога	🧘	68	3	31463
қарсымын	🙅‍♂️	177	3	31687
қорқу	😱	180	3	33148
сақалды	🧔	118	3	35099
жанм	❤	8	3	35600
табан	🦶	133	3	36991
күзет	💂‍♂️	76	3	37413
оқымысты	🤓	108	3	37502
тәрбиелеу	🙋‍♂️	143	3	39730
қайғылы	🙍‍♂️	173	3	39783
аспаз	👩‍🍳	9	3	40968
күзетші	💂‍♀️	77	3	41258
қария	👵	176	3	41820
табуды	💸	134	3	41936
алақан	✋	4	3	42289
гоблин	👺	31	3	42414
күлу	😀	79	3	43657
босану	😌	25	3	44254
суретші	👩‍🎨	124	3	44445
термометр	🤒	137	3	47905
құсу	🤮	186	3	51399
әруақ	👻	199	3	51773
ғарыш	👩‍🚀	168	3	52139
ұялу	😕	194	3	53200
дэ	😂	1	3	53486
фермер	👨‍🌾	149	3	54601
интернетпен	📱	67	3	55225
жұмыскер	👩‍💼	60	3	56889
іздер	👣	166	3	57446
жұдырық	✊	59	3	60069
құшақтау	🤗	187	3	60242
мүсін	👤	96	3	60278
зұлым	🦹‍♂️	66	3	66315
робот	🤖	114	3	69063
тілсіз	😶	140	3	69449
ашулану	😠	12	3	73670
ғарышкер	👨‍🚀	169	3	74743
зиялы	👨‍🔬	64	3	75975
лебіз	💋	84	3	76684
ұсталдың	😝	179	3	77478
сиқыршы	🧙‍♂️	120	3	80337
мысқыл	😜	94	3	80421
ұшқыш	👨‍✈️	193	3	81816
құрылысшы	👷‍♀️	185	3	82954
жүгіріс	🏃‍♀️	56	3	85225
сілтеу	🤷‍♂️	126	3	85237
үндемеу	🤫	188	3	85610
жолсерік	👩‍✈️	52	3	90551
уайымдау	😟	146	3	91497
бауырмалдық	🫂	18	3	94749
бейтарап	😐	20	3	94983
түшкіру	🤧	142	3	96163
қалжыңбас	🤪	174	3	97827
күлімсіреу	😃	81	3	103066
келімсек	👽	70	3	106482
күлімдеу	😏	80	3	107232
қансорғыш	🧛‍♂️	175	3	108554
суреткер	👨‍🎨	123	3	112069
жымию	😄	55	3	113515
ымдау	😉	160	3	113858
ренжу	🙎‍♂️	113	3	116436
қымсыну	😊	34	3	120751
жирену	😖	51	3	123834
ыржию	🙂	161	3	123867
монокль	🧐	93	3	123968
еңіреу	😭	43	3	127057
ызалану	😡	159	3	127937
әндету	👩‍🎤	197	3	129684
ыржыңдау	😁	162	3	136213
жабырқаңқы	😓	44	3	138657
тырқылдау	🤣	30	3	140988
жабыңқы	🙁	45	3	144540
ааа	😂	1	3	228078
аспазшылық	👨‍🍳	10	3	228081
бағдарламашы	👨‍💻	19	3	228083
блондинка	👱‍♀️	24	3	228089
джинн	🧞‍♀️	33	3	228090
дээ	😂	1	3	228091
жиеркену	😣	50	3	228096
закрептегі	📌	63	3	228102
ия	😂	1	3	228103
кария	👴	69	3	228104
кудри	👩‍🦱	75	3	228106
люблю	❤	8	3	228109
масайраған	😎	86	3	228112
миру	🌍	92	3	228113
моя	❤	8	3	228114
мүсіндер	👥	97	3	228115
программист	👩‍💻	112	3	228118
рахмееет	😘	21	3	228121
сагат	⏰	115	3	228123
саламатсызба	🙋	116	3	228128
салют	🖖	117	3	228130
селфи	🤳	119	3	228132
спасибо	❤	8	3	228136
суйем	💋	84	3	228139
сөйлеуші	🗣	132	3	228141
таңқалу	😨	136	3	228142
тебя	❤	8	3	228143
төңкерілмелі	💁	145	3	228147
уоу	🤩	147	3	228149
уф	😅	148	3	228150
шакырамын	👭	153	3	228157
шәрпі	👳‍♀️	158	3	228159
эльф	🧝‍♀️	164	3	228160
эмоциясыз	😑	165	3	228161
ғызметкер	👨‍🏭	170	3	228168
әминь	🤲	196	3	228169
әттен	😥	200	3	228170
өкінбейсіздер	💸	134	3	228173
