token	weight	state_id
!	44	13
)	105	1073
?	21	1
Іздеп	254	210421
Ілияс	254	209449
Істеп	254	210927
Ішіп	254	210549
Аа	254	210452
Ааа	254	210453
Абай	254	208914
Абдиров	254	207816
Абдрахманов	254	206860
Абдрашев	254	208213
Абдуллаев	254	208251
Абилев	254	207289
Абилов	254	206844
Абильдаев	254	207561
Абишев	254	207872
Абуджа	254	209456
Абуталипов	254	209160
Абылайхан	254	206637
Австралия	254	209558
Адай	254	206787
Адам	254	210861
Ажар	254	210058
Аз	254	207467
Азия	254	207469
Ай	254	206861
Айбала	254	210101
Айбек	254	208079
Айзада	254	208701
Айко	254	207326
Айкүміс	254	209453
Айман	254	207394
Аймаутов	254	209358
Айнұр	254	209790
Айсана	254	207077
Айсулу	254	207787
Айсұлтан	254	210028
Айсұлу	254	207570
Айт	254	207226
Айта	254	210644
Айтам	254	210645
Айтхожин	254	207231
Айтып	254	210551
Айханым	254	207331
Айша	254	206863
Айғаным	254	209855
Аккра	254	207113
Ал	254	206488
Ала	254	207070
Алакөл	254	207073
Алатау	254	208056
Албания	254	209752
Алдаспан	254	210349
Алдияр	254	209066
Алжир	254	210055
Али	254	207363
Алибеков	254	207984
Алиев	254	208582
Алима	254	207365
Алимжанов	254	208302
Алишер	254	207887
Алла	254	209121
Аллаға	254	210689
Алматы	254	207259
Алтай	254	209260
Алтын	254	206847
Алтынбаев	254	206851
Алып	254	210416
Алға	254	206490
Аман	254	207544
Амангелді	254	207549
Амангельды	254	207646
Аманжолов	254	207602
Америка	254	206768
Амман	254	206993
Амстердам	254	210399
Ана	254	209164
Анар	254	209165
Ангола	254	209046
Андорра	254	209071
Анкара	254	207404
Антигуа	254	206521
Антрактида	254	207582
Апиа	254	209787
Арабиясы	254	207851
Арай	254	210166
Арал	254	209021
Аргентина	254	208041
Арена	254	208472
Армения	254	206654
Арсен	254	209475
Артем	254	209375
Аружан	254	207855
Арыс	254	207215
Арқалық	254	207735
Асан	254	206790
Асанбаев	254	206794
Асель	254	209977
Асмэра	254	210334
Ассалам	254	210513
Ассалаумалейкум	254	210468
Ассаляму	254	210846
Астана	254	209050
Асунсьон	254	210295
Асқар	254	208680
Атамекен	254	209027
Атбасар	254	207051
Атырау	254	208198
Ау	254	207260
Аубакиров	254	207455
Аумин	254	210821
Аустралия	254	209130
Аустрия	254	207265
Ауыз	254	210788
Ауырып	254	210920
Ауғанстан	254	209698
Афины	254	209640
Африка	254	209380
Аха	254	210684
Ахмадиев	254	208369
Ахмет	254	208486
