token	emoji	emoji_id	group_id	state_id
go	😂	1	0	87
bol	😘	21	0	101
bır	☝	28	0	119
qyz	👧	182	0	172
ma	😂	1	0	212
adam	🧑	2	0	331
emes	❌	39	0	338
aqşa	🤑	15	0	394
oi	🤔	103	0	439
mama	❤	8	0	727
aşu	👿	11	0	960
ahahah	😂	1	0	1124
köz	👁	82	0	1235
köz	👁	82	1	1235
dep	😂	1	1	1475
tün	😘	21	1	1479
bala	🧒	16	1	1721
endı	😂	1	1	1811
keremet	🤘	71	1	1874
mi	🧠	91	1	1989
dämdı	😋	37	1	2023
video	🤣	30	1	2232
aiaq	🦵	14	1	2293
oquşy	👨‍🎓	107	1	2452
jeñıs	✌	49	1	2934
äiel	👩	195	1	3011
jan	❤	8	1	3100
mūğalım	👩‍🏫	99	1	3121
külkı	😆	78	1	3175
sol	👈	121	1	3241
tıl	👅	139	1	3308
bile	💃	22	1	3506
ūl	👦	191	1	3600
sot	👩‍⚖️	122	1	3807
rahme	😘	21	1	3837
rahmet	😘	21	1	3838
tömen	👇	144	1	3867
qazy	👨‍⚖️	171	1	4044
kettı	😂	1	1	4050
tabuğa	💸	134	1	4055
doktor	👨‍⚕️	35	1	4081
erın	👄	41	1	4318
maşina	🚘	89	1	4450
qūlaq	👂	184	1	4518
şarşağan	😫	156	1	4539
fu	🤢	150	1	5582
jürek	❤	8	1	5649
joğary	👆	53	1	5750
tıs	🦷	141	1	5839
die	😂	1	1	5842
jaqsy	👍	48	1	6066
şükır	🙏	7	1	6121
menıñ	😘	21	1	6381
ädemı	😍	74	1	6826
qairan	😲	172	1	7089
erkek	👨	40	1	7214
jylau	😢	54	1	7504
tärbieleu	🙋‍♂️	143	1	7687
mūryn	👃	98	1	8006
süiek	🦴	128	1	8299
dobraia	😊	34	1	8545
suyq	🥶	125	1	9365
taz	👨‍🦲	135	1	9592
ūiyqtau	😴	189	1	9889
mehanik	👨‍🔧	90	1	10147
dūrys	👉	36	1	10383
ökınıştı	😰	201	1	10442
körem	❤	8	1	10576
boq	💩	27	1	11382
aldau	🤥	5	1	11438
bersın	😘	21	1	11630
därıger	👩‍⚕️	38	1	11730
ūstaz	👨‍🏫	192	1	11911
ğalym	👩‍🔬	167	1	11991
hanşaiym	👸	152	1	12066
jaman	👎	46	1	12446
bant	🤕	17	1	12726
bosañ	🥴	26	1	13967
kloun	🤡	73	1	14503
mazaq	😛	85	1	14726
jöndeu	👩‍🔧	62	1	14873
oqymysty	🤓	108	1	15218
myqty	💪	95	1	15619
hanzada	🤴	151	1	15841
mūñdy	😞	100	1	16059
şäi	🧋	157	1	16154
suretşı	👩‍🎨	124	1	16590
jürıs	🚶‍♀️	58	1	16992
amandasu	🤝	6	1	17134
aitpau	🤐	3	1	17169
laik	❤	8	1	17780
jūmysşy	👨‍💼	61	1	18412
bileu	🕺	23	1	18816
taban	🦶	133	1	18886
şarşau	😩	155	1	19380
jürekşe	🫶	57	1	19919
şapalaq	👏	154	1	20358
tılektes	❤	8	1	20601
tynyş	🤌	138	1	22054
qarsymyn	🙅‍♂️	177	1	22584
änşı	👨‍🎤	198	1	23014
ğaryş	👩‍🚀	168	1	26089
detektiv	🕵️‍♀️	32	1	26236
mahabbat	🥰	88	1	26465
külu	😀	79	1	26482
janym	❤	8	1	26679
qaiğyly	🙍‍♂️	173	1	26993
qorqu	😱	180	1	27654
saqaldy	🧔	118	1	30159
alaqan	✋	4	1	30618
aspaz	👩‍🍳	9	1	30773
böpe	👶	29	1	31514
internetpen	📱	67	1	31595
müsın	👤	96	1	31719
tabudy	💸	134	1	31822
beitarap	😐	20	1	33026
ioga	🧘	68	1	33792
qūsu	🤮	186	1	34450
dima	😂	1	1	34662
ūiqyly	😪	190	1	35379
ok	👌	105	1	36250
termometr	🤒	137	1	36972
qariia	👵	176	1	37353
ūşqyş	👨‍✈️	193	1	38036
goblin	👺	31	1	38088
oilanu	🙇	104	1	38313
qartaiu	👨‍🦳	178	1	39290
bosanu	😌	25	1	40261
ystyq	🥵	163	1	40964
ūstaldyñ	😝	179	1	42267
sılteu	🤷‍♂️	126	1	44170
ziialy	👨‍🔬	64	1	44452
sälem	🫡	131	1	45035
küzet	💂‍♂️	76	1	48637
fermer	👨‍🌾	149	1	49262
ızder	👣	166	1	49387
aşuly	😈	13	1	49777
qūrylysşy	👷‍♀️	185	1	51079
ğaryşker	👨‍🚀	169	1	51091
jūmysker	👩‍💼	60	1	52512
küzetşı	💂‍♀️	77	1	52691
mäz	🙃	101	1	52885
perı	🧚‍♂️	109	1	54251
jüregım	❤	8	1	55560
jūdyryq	✊	59	2	58966
bauyrmaldyq	🫂	18	2	59972
tılsız	😶	140	2	61914
qūşaqtau	🤗	187	2	64467
perışte	😇	110	2	70679
jügırıs	🏃‍♀️	56	2	72428
zūlym	🦹‍♂️	66	2	73700
mysqyl	😜	94	2	74469
aşulanu	😠	12	2	74490
äruaq	👻	199	2	74934
uaiymdau	😟	146	2	75120
siqyrşy	🧙‍♂️	120	2	76591
