token1	token2	weight
a	a	0
a	men	9
kerek	emes	8
jaz	dep	8
aman	bolsyn	10
aman	esen	10
en	bırınşı	5
en	bastysy	10
edı	ğoi	9
al	men	7
alla	qalasa	10
alla	razy	9
allağa	şükır	9
djoker	djoker	2
bol	auyrma	1
bolğan	eken	9
bolğan	soñ	9
anau	mynau	8
jat	dep	4
vsö	vsö	8
vsö	budet	8
at	jarys	8
aty	kım	10
sälamatsyz	apai	7
aldy	dep	2
aldyn	ala	10
boi	jetıp	3
boiy	ūzyn	9
basta	men	6
basta	basta	5
basta	dep	8
bu	de	9
bolma	adam	6
bolma	dep	5
bolmai	jatyr	8
bolmai	tūr	8
bolmaidy	ğoi	6
otyr	ğoi	9
qyzy	bar	10
qyzyq	emes	6
ekınşı	ret	8
ket	dep	10
bıl	men	10
bıl	endı	8
da	da	9
daje	esli	9
jatyrsyñ	dar	6
matematika	dan	8
basy	bos	6
qalyñ	qalai	8
byl	by	2
byl	bolsyn	7
byla	by	8
tañ	janym	4
tañerteñ	erte	10
jürmın	şükır	10
jürmın	ğoi	10
jek	körem	7
jek	körıp	7
jatsyn	dar	10
keş	jaryq	8
alady	eken	4
jauyp	jatyr	10
jauyp	tūr	7
keşı	joq	9
keşır	keşır	1
keşırım	sūraimyn	3
tar	bolyp	3
özın	özı	6
vsmysle	vsmysle	3
barlyğy	jaqsy	1
jazu	kerek	8
senderge	de	3
jol	bolsyn	9
joly	bolsyn	6
bai	quatty	10
bailanys	üşın	10
alasyñ	ğoi	8
alatyn	adam	8
kel	dep	10
kelgen	joq	9
kelgen	soñ	10
do	konsa	10
dom	zadanie	3
keldıñ	törlet	6
dobroe	dobroe	5
tate	men	5
em	bolsyn	10
emespın	ğoi	4
dobryi	veşer	6
dem	alyp	5
demal	endı	8
demal	janym	7
taksi	bar	4
taksi	barma	9
pysyp	kettı	10
sonymen	bırge	2
sonymen	qatar	9
bärı	jaqsy	4
jıber	dep	7
taqyryp	boiynşa	8
aqşasy	bar	6
aqşasy	qanşa	9
aqşasy	joq	9
kelp	tūr	9
kelp	tūrğan	8
kelp	alp	9
bıttı	ğoi	9
kör	dep	7
kör	janym	10
köre	almai	9
alihan	sen	9
jūma	künı	1
jūma	mübäräk	10
aitsa	da	4
aitsa	aita	7
aitsa	bolady	8
bağasy	qanşa	8
alasyz	ğoi	3
kazak	tılı	8
qaldary	qalai	6
qaldaryñ	qalai	1
alam	dep	1
alamyz	dep	7
